Date,Date_Norm,Symbol,Type,Entry,SL,Target,Close,Status,Days_Active,Trigger_Date,Symbol_Clean
07-09-2026,2026-09-07,MFSL,SHORT,1509.95,1582.09,1293.53,1520.0,TRIGGERED,1,2026-09-08,MFSL
07-09-2026,2026-09-07,MANAPPURAM,SHORT,323.1,355.19,226.83,325.6,TRIGGERED,2,2026-09-09,MANAPPURAM
07-09-2026,2026-09-07,PVRINOX,SHORT,1125.65,1240.07,782.39,1156.5,STOPPED_OUT,1,,PVRINOX
07-09-2026,2026-09-07,CUB,LONG,248.9,221.14,332.18,238.48,EXPIRED,4,,CUB
04-09-2026,2026-09-04,HDFCLIFE,LONG,548.05,532.54,594.58,546.4,EXPIRED,4,,HDFCLIFE
04-09-2026,2026-09-04,IGL,LONG,159.55,148.6,192.4,158.04,EXPIRED,4,,IGL
04-09-2026,2026-09-04,HAL,LONG,4936.05,4817.4,5292.0,4856.0,TRIGGERED,3,2026-09-08,HAL
03-09-2026,2026-09-03,GRASIM,LONG,3325.25,3200.42,3699.74,3310.0,TRIGGERED,2,2026-09-07,GRASIM
03-09-2026,2026-09-03,OBEROIRLTY,LONG,1912.75,1822.4,2183.8,1902.0,EXPIRED,4,,OBEROIRLTY
03-09-2026,2026-09-03,RBLBANK,LONG,410.75,383.8,491.6,408.1,TRIGGERED,2,2026-09-07,RBLBANK
03-09-2026,2026-09-03,GRANULES,LONG,873.55,809.18,1066.66,853.85,TRIGGERED,2,2026-09-07,GRANULES
03-09-2026,2026-09-03,GODREJPROP,LONG,2056.75,1960.0,2347.0,2001.5,STOPPED_OUT,2,,GODREJPROP
02-09-2026,2026-09-02,RBLBANK,LONG,392.75,369.36,462.92,389.4,TRIGGERED,3,2026-09-07,RBLBANK
02-09-2026,2026-09-02,COALINDIA,LONG,422.45,400.1,489.5,417.85,EXPIRED,4,,COALINDIA
08-09-2026,2026-09-08,JKCEMENT,SHORT,4971.95,5297.23,3996.11,4990.5,TRIGGERED,1,2026-09-09,JKCEMENT
08-09-2026,2026-09-08,INDIAMART,SHORT,1680.95,1787.14,1362.38,1684.5,TRIGGERED,1,2026-09-09,INDIAMART
08-09-2026,2026-09-08,NAUKRI,LONG,1298.35,1251.9,1437.7,1292.0,STOPPED_OUT,2,,NAUKRI
08-09-2026,2026-09-08,BANDHANBNK,LONG,172.45,163.3,199.9,171.58,TRIGGERED,1,2026-09-09,BANDHANBNK
08-09-2026,2026-09-08,HAL,LONG,5072.05,4835.16,5782.72,5031.1,TRIGGERED,1,2026-09-09,HAL
08-09-2026,2026-09-08,DALBHARAT,SHORT,1671.75,1824.98,1212.06,1700.5,EXPIRED,4,,DALBHARAT
08-09-2026,2026-09-08,BEL,LONG,416.05,394.84,479.68,410.55,EXPIRED,4,,BEL
09-09-2026,2026-09-09,LT,SHORT,3922.55,4099.25,3392.45,3922.6,TRIGGERED,1,2026-09-10,LT
09-09-2026,2026-09-09,DLF,SHORT,654.65,694.87,533.99,655.1,TRIGGERED,1,2026-09-10,DLF
09-09-2026,2026-09-09,BANKBARODA,SHORT,234.0,248.19,191.43,234.1,PENDING,3,,BANKBARODA
09-09-2026,2026-09-09,ADANIPORTS,LONG,1785.95,1669.96,2133.92,1775.0,PENDING,3,,ADANIPORTS
09-09-2026,2026-09-09,HDFCLIFE,SHORT,508.9,542.92,406.84,514.0,TRIGGERED,1,2026-09-10,HDFCLIFE
09-09-2026,2026-09-09,ADANIENT,LONG,3142.05,2930.75,3775.95,3104.7,PENDING,3,,ADANIENT
09-09-2026,2026-09-09,ABB,LONG,7480.05,7295.25,8034.45,7401.5,STOPPED_OUT,1,,ABB
09-09-2026,2026-09-09,NAVINFLUOR,LONG,8949.55,8294.79,10913.83,8775.5,PENDING,3,,NAVINFLUOR
10-09-2026,2026-09-10,CHOLAFIN,LONG,1868.25,1789.99,2103.03,1859.0,PENDING,2,,CHOLAFIN
10-09-2026,2026-09-10,DRREDDY,LONG,1147.25,1134.9,1184.3,1143.0,STOPPED_OUT,1,,DRREDDY
10-09-2026,2026-09-10,INDIAMART,SHORT,1625.95,1734.05,1301.65,1637.7,TRIGGERED,1,2026-09-11,INDIAMART
10-09-2026,2026-09-10,CUMMINSIND,SHORT,5069.45,5319.72,4318.64,5155.0,TRIGGERED,1,2026-09-11,CUMMINSIND
11-09-2026,2026-09-11,GRANULES,LONG,914.9,836.41,1150.37,909.3,PENDING,1,,
11-09-2026,2026-09-11,BANDHANBNK,LONG,178.59,164.35,221.31,176.52,PENDING,1,,
11-09-2026,2026-09-11,INDUSINDBK,SHORT,972.25,1025.22,813.34,978.2,PENDING,1,,
11-09-2026,2026-09-11,ALKEM,SHORT,5050.95,5373.64,4082.88,5087.5,PENDING,1,,
11-09-2026,2026-09-11,ONGC,SHORT,232.45,244.17,197.29,232.5,PENDING,1,,
11-09-2026,2026-09-11,INDUSTOWER,LONG,390.9,361.81,478.17,388.0,PENDING,1,,
11-09-2026,2026-09-11,LICHSGFIN,LONG,572.4,536.85,679.05,562.9,PENDING,1,,
11-09-2026,2026-09-11,GODREJPROP,SHORT,1718.95,1908.93,1149.01,1748.0,PENDING,1,,
11-09-2026,2026-09-11,PIIND,SHORT,2190.95,2378.4,1628.6,2259.0,PENDING,1,,
11-09-2026,2026-09-11,SUNTV,LONG,485.55,450.0,592.2,476.0,PENDING,1,,
